[INFO ] [2023-02-23 21:59:14,590] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 21:59:24,299] Send key to User Name field
[INFO ] [2023-02-23 21:59:24,504] Send key to Password field
[INFO ] [2023-02-23 21:59:24,651] Click to Login button
[INFO ] [2023-02-23 21:59:24,803] Verify login success through home page title
[INFO ] [2023-02-23 21:59:24,838]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-23 21:59:51,523] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 21:59:56,813] Send key to User Name field
[INFO ] [2023-02-23 21:59:57,046] Send key to Password field
[INFO ] [2023-02-23 21:59:57,196] Click to Login button
[INFO ] [2023-02-23 21:59:57,342] Verify login success through home page title
[INFO ] [2023-02-23 21:59:57,376]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:00:42,531] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 22:00:48,345] Send key to User Name field
[INFO ] [2023-02-23 22:00:48,584] Send key to Password field
[INFO ] [2023-02-23 22:00:48,733] Click to Login button
[INFO ] [2023-02-23 22:00:48,895] Verify login success through home page title
[INFO ] [2023-02-23 22:00:48,937]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:00:48,940] Close
[INFO ] [2023-02-23 22:10:32,114] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 22:10:37,211] Send key to User Name field
[INFO ] [2023-02-23 22:10:37,435] Send key to Password field
[INFO ] [2023-02-23 22:10:37,586] Click to Login button
[INFO ] [2023-02-23 22:10:37,733] Verify login success through home page title
[INFO ] [2023-02-23 22:10:37,805]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:10:37,808] Send key to User Name field
[INFO ] [2023-02-23 22:11:18,808] Close
[INFO ] [2023-02-23 22:12:28,246] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 22:12:33,428] Send key to User Name field
[INFO ] [2023-02-23 22:12:33,667] Send key to Password field
[INFO ] [2023-02-23 22:12:33,859] Click to Login button
[INFO ] [2023-02-23 22:12:33,980] Verify login success through home page title
[INFO ] [2023-02-23 22:12:34,014]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:12:34,016] Send key to User Name field
[INFO ] [2023-02-23 22:12:34,158] Send key to Password field
[INFO ] [2023-02-23 22:12:34,308] Click to Login button
[INFO ] [2023-02-23 22:12:34,452] Verify login success through home page title
[INFO ] [2023-02-23 22:12:34,494]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:12:34,495] Close
[INFO ] [2023-02-23 22:14:50,793] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 22:14:56,216] Send key to User Name field
[INFO ] [2023-02-23 22:14:56,432] Send key to Password field
[INFO ] [2023-02-23 22:14:56,595] Click to Login button
[INFO ] [2023-02-23 22:14:56,702] Verify login success through home page title
[INFO ] [2023-02-23 22:14:56,733]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:14:56,735] Send key to User Name field
[INFO ] [2023-02-23 22:14:56,888] Send key to Password field
[INFO ] [2023-02-23 22:14:57,029] Click to Login button
[INFO ] [2023-02-23 22:14:57,159] Verify login success through home page title
[INFO ] [2023-02-23 22:14:57,195]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:14:57,195] Close
[INFO ] [2023-02-23 22:15:46,405] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 22:15:52,407] Send key to User Name field
[INFO ] [2023-02-23 22:15:52,608] Send key to Password field
[INFO ] [2023-02-23 22:15:52,761] Click to Login button
[INFO ] [2023-02-23 22:15:52,868] Verify login success through home page title
[INFO ] [2023-02-23 22:15:52,899]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-23 22:15:53,079] Send key to User Name field
[INFO ] [2023-02-23 22:15:53,230] Send key to Password field
[INFO ] [2023-02-23 22:15:53,364] Click to Login button
[INFO ] [2023-02-23 22:15:53,477] Verify login success through home page title
[INFO ] [2023-02-23 22:15:53,513]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:15:53,514] Close
[INFO ] [2023-02-23 22:26:01,200] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 22:26:06,724] Send key to User Name field
[INFO ] [2023-02-23 22:26:06,952] Send key to Password field
[INFO ] [2023-02-23 22:26:07,089] Click to Login button
[INFO ] [2023-02-23 22:26:07,195] Verify login success through home page title
[INFO ] [2023-02-23 22:26:07,226]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:26:07,229] Send key to User Name field
[INFO ] [2023-02-23 22:26:07,364] Send key to Password field
[INFO ] [2023-02-23 22:26:07,507] Click to Login button
[INFO ] [2023-02-23 22:26:07,579] Verify error message when input Invalid username and valid password
[INFO ] [2023-02-23 22:26:07,602]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:26:07,602] Send key to User Name field
[INFO ] [2023-02-23 22:26:07,746] Send key to Password field
[INFO ] [2023-02-23 22:26:07,886] Click to Login button
[INFO ] [2023-02-23 22:26:07,975] Verify error message when input Valid username and Invalid password
[INFO ] [2023-02-23 22:26:08,003]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:26:08,004] Send key to User Name field
[INFO ] [2023-02-23 22:26:08,156] Send key to Password field
[INFO ] [2023-02-23 22:26:08,303] Click to Login button
[INFO ] [2023-02-23 22:26:08,451] Verify login success through home page title
[INFO ] [2023-02-23 22:26:08,496]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:26:08,497] Close
[INFO ] [2023-02-23 22:39:50,969] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 22:39:56,171] Login to System
[INFO ] [2023-02-23 22:39:56,926]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:39:57,123]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 22:39:57,352]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-23 22:39:57,665] Close
[INFO ] [2023-02-23 23:22:30,399] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 23:22:36,332] Login to System
[INFO ] [2023-02-23 23:22:37,398]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 23:22:37,604]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 23:22:37,913]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-23 23:22:38,355] Close
[INFO ] [2023-02-24 09:46:38,003] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 09:46:40,777] Login to System
[INFO ] [2023-02-24 09:46:41,525]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 09:46:41,743]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 09:46:41,978]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-24 09:46:42,339] Close
[INFO ] [2023-02-24 09:47:05,529] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 09:47:08,535] Login to System
[INFO ] [2023-02-24 09:47:57,043]  -------------------------- PASSED -------------------------- 
