[INFO ] [2023-02-27 10:49:04,537] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:49:07,766] Login to System
[INFO ] [2023-02-27 10:49:08,422] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:49:10,160] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:49:11,936] Login to System
[INFO ] [2023-02-27 10:49:12,574] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:49:14,488] Login to System
[INFO ] [2023-02-27 10:49:15,248] Select sort from drop down with Name (A to Z)
[INFO ] [2023-02-27 10:49:15,248] Send key to User Name field
[INFO ] [2023-02-27 10:49:15,411] Compare the name after sort is equal
[INFO ] [2023-02-27 10:49:15,537] Send key to Password field
[INFO ] [2023-02-27 10:49:15,630]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:15,632] Select sort from drop down with Name (Z to A)
[INFO ] [2023-02-27 10:49:15,749] Click to Login button
[INFO ] [2023-02-27 10:49:15,806] Compare the name after sort is equal
[INFO ] [2023-02-27 10:49:15,887]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:15,889] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-27 10:49:15,905] Verify login success through home page title
[INFO ] [2023-02-27 10:49:15,948]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:15,949] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-27 10:49:16,011] Is quantity increase to 1
[INFO ] [2023-02-27 10:49:16,098]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:16,548] Select sort from drop down with Price (high to low)
[INFO ] [2023-02-27 10:49:16,550] Send key to User Name field
[INFO ] [2023-02-27 10:49:16,723] Compare the price after sort is equal
[INFO ] [2023-02-27 10:49:16,757] Send key to Password field
[INFO ] [2023-02-27 10:49:16,850]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:16,850] Select sort from drop down with Price (high to low)
[INFO ] [2023-02-27 10:49:16,923] Click to Login button
[INFO ] [2023-02-27 10:49:16,974] Compare the price after sort is equal
[INFO ] [2023-02-27 10:49:17,014] Verify error message when input Invalid username and valid password
[INFO ] [2023-02-27 10:49:17,036]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:17,037] CLick to second item Sauce Labs Bike Light
[INFO ] [2023-02-27 10:49:17,057]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:17,209] CLick to third item Sauce Labs Bolt T-Shirt
[INFO ] [2023-02-27 10:49:17,328] Is quantity increase to 3
[INFO ] [2023-02-27 10:49:17,381]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:17,382] Send key to User Name field
[INFO ] [2023-02-27 10:49:17,382] Remove all selected item added to cart
[INFO ] [2023-02-27 10:49:17,609] Send key to Password field
[INFO ] [2023-02-27 10:49:17,779] Click to Login button
[INFO ] [2023-02-27 10:49:17,797] Is Cart Quantity displayed
[INFO ] [2023-02-27 10:49:17,893] Verify error message when input Valid username and Invalid password
[INFO ] [2023-02-27 10:49:17,912]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:27,837]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:27,838] Send key to User Name field
[INFO ] [2023-02-27 10:49:27,984] Send key to Password field
[INFO ] [2023-02-27 10:49:28,124] Click to Login button
[INFO ] [2023-02-27 10:49:28,295] Verify login success through home page title
[INFO ] [2023-02-27 10:49:28,333]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:49:28,335] Close
[INFO ] [2023-02-27 10:51:17,953] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:51:20,906] Login to System
[INFO ] [2023-02-27 10:51:21,471] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:51:23,333] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:51:25,118] Login to System
[INFO ] [2023-02-27 10:51:25,766] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:51:27,632] Login to System
[INFO ] [2023-02-27 10:51:28,309] Select sort from drop down with Name (A to Z)
[INFO ] [2023-02-27 10:51:28,309] Send key to User Name field
[INFO ] [2023-02-27 10:51:28,467] Compare the name after sort is equal
[INFO ] [2023-02-27 10:51:28,547] Send key to Password field
[INFO ] [2023-02-27 10:51:28,622]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:51:28,623] Select sort from drop down with Name (Z to A)
[INFO ] [2023-02-27 10:51:28,736] Click to Login button
[INFO ] [2023-02-27 10:51:28,765] Compare the name after sort is equal
[INFO ] [2023-02-27 10:51:28,820]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:51:28,822] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-27 10:51:28,880] Verify login success through home page title
[INFO ] [2023-02-27 10:51:28,918]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:51:28,919] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-27 10:51:28,946] Is quantity increase to 1
[INFO ] [2023-02-27 10:51:29,046]  Step 2: Click to Cart button
[INFO ] [2023-02-27 10:51:29,704] Is Your Card page displayed
[INFO ] [2023-02-27 10:51:29,788]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:51:29,788] Check selected item is displayed in cart
[INFO ] [2023-02-27 10:51:40,243] Select sort from drop down with Price (high to low)
[INFO ] [2023-02-27 10:51:40,244] Send key to User Name field
[INFO ] [2023-02-27 10:51:40,426] Send key to Password field
[INFO ] [2023-02-27 10:51:40,586] Click to Login button
[INFO ] [2023-02-27 10:51:40,680] Verify error message when input Invalid username and valid password
[INFO ] [2023-02-27 10:51:40,707]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:51:40,709] CLick to second item Sauce Labs Bike Light
[INFO ] [2023-02-27 10:52:00,556] Send key to User Name field
[INFO ] [2023-02-27 10:52:00,558] Remove all selected item added to cart
[INFO ] [2023-02-27 10:52:00,737] Send key to Password field
[INFO ] [2023-02-27 10:52:00,888] Click to Login button
[INFO ] [2023-02-27 10:52:00,987] Verify error message when input Valid username and Invalid password
[INFO ] [2023-02-27 10:52:01,065]  -------------------------- PASSED -------------------------- 
